papel;cotacao;pl;pvp;psr;dy;pa;pcg;pebit;pacl;evebit;evebitda;mrgebit;mrgliq;roic;roe;liqc;liq2m;patrliq;divbpatr;c5y
BMEB4;10.1;5.28;0.83;0.0;0.0277;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1576;0.0;53771.0;1273010000.0;0.0;0.17670000000000002
BMGB4;2.15;5.54;0.32;0.0;0.1699;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0574;0.0;2336190.0;3939450000.0;0.0;-0.0347
BMIN3;18.5;9.15;0.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0739;0.0;647.83;132130000.0;0.0;0.1617
BMIN4;13.99;6.92;0.51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0739;0.0;1037.76;132130000.0;0.0;0.1617
BMKS3;387.0;7.73;0.85;9.815;0.0462;0.769;1.0;-44.57;1.11;-3.17;-3.55;-0.2202;1.2697;-0.06280000000000001;0.1105;36.02;8729.96;206103000.0;0.01;0.08349999999999999
BMOB3;13.7;14.26;1.17;0.878;0.0148;0.893;1.97;12.51;2.22;7.02;4.31;0.0702;0.0616;0.1368;0.0821;3.42;5358440.0;1063710000.0;0.0;3.7426999999999997
BNBR3;80.5;3.45;0.77;0.0;0.0557;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.22399999999999998;0.0;5043.54;8996180000.0;0.0;0.2234
BOAS3;7.6;15.26;1.83;4.716;0.0351;1.565;3.26;25.13;3.48;16.97;8.11;0.1877;0.309;0.1349;0.1197;5.27;15624400.0;2215200000.0;0.01;0.1624
BPAC11;20.71;10.13;1.87;0.0;0.0317;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18510000000000001;0.0;355460000.0;42371800000.0;0.0;0.342
BPAC3;10.89;15.98;2.96;0.0;0.020099999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18510000000000001;0.0;102871.0;42371800000.0;0.0;0.342
BPAC5;5.11;7.5;1.39;0.0;0.0429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18510000000000001;0.0;47860.7;42371800000.0;0.0;0.342
BPAN4;5.31;9.57;0.88;0.0;0.0533;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0916;0.0;18724700.0;7706050000.0;0.0;0.171
BRAP3;25.64;1.7;1.29;0.0;0.11599999999999999;1.271;12.64;-463.64;12.66;-424.87;-424.87;0.0;0.0;-0.0031;0.7582;9.56;1700830.0;7833580000.0;0.0;0.0
BRAP4;28.28;1.87;1.42;0.0;0.1157;1.402;13.94;-511.38;13.96;-472.61;-472.61;0.0;0.0;-0.0031;0.7582;9.56;68681300.0;7833580000.0;0.0;0.0
BRBI11;10.53;7.52;1.37;4.404;0.09380000000000001;0.14;1.31;15.59;1.54;3.27;3.08;0.2825;0.586;0.6751999999999999;0.18289999999999998;1.12;912606.0;804217000.0;8.57;-0.5471
BRFS3;7.08;-2.42;0.68;0.142;0.0;0.132;1.82;18.22;-0.39;53.8;6.63;0.0078000000000000005;-0.0584;0.012199999999999999;-0.281;1.19;189015000.0;11270000000.0;2.09;0.1646
BRGE11;9.7;8.51;0.55;187.793;0.0395;0.211;0.61;-0.96;1.49;1.09;1.11;-195.54;33.3559;-0.39990000000000003;0.06509999999999999;2.33;287.81;1289790000.0;0.0;-0.4365
BRGE12;9.72;8.52;0.56;188.181;0.0;0.212;0.61;-0.96;1.49;1.09;1.11;-195.54;33.3559;-0.39990000000000003;0.06509999999999999;2.33;7336.61;1289790000.0;0.0;-0.4365
BRGE3;9.5;8.33;0.54;183.921;0.0;0.207;0.6;-0.94;1.46;1.11;1.13;-195.54;33.3559;-0.39990000000000003;0.06509999999999999;2.33;1850.44;1289790000.0;0.0;-0.4365
